#REP	MAP1	MAP2	NE	SIGA	VS	MIG
1	1	2	100	1	196	1.75
2	1	2	100	1	196	1.75
3	1	2	100	1	196	1.75
4	1	2	100	1	196	1.75
5	1	2	100	1	196	1.75
6	1	2	100	1	196	1.75
7	1	2	100	1	196	1.75
8	1	2	100	1	196	1.75
9	1	2	100	1	196	1.75
10	1	2	100	1	196	1.75
1	1	3	100	1	196	1.75
2	1	3	100	1	196	1.75
3	1	3	100	1	196	1.75
4	1	3	100	1	196	1.75
5	1	3	100	1	196	1.75
6	1	3	100	1	196	1.75
7	1	3	100	1	196	1.75
8	1	3	100	1	196	1.75
9	1	3	100	1	196	1.75
10	1	3	100	1	196	1.75
1	2	3	100	1	196	1.75
2	2	3	100	1	196	1.75
3	2	3	100	1	196	1.75
4	2	3	100	1	196	1.75
5	2	3	100	1	196	1.75
6	2	3	100	1	196	1.75
7	2	3	100	1	196	1.75
8	2	3	100	1	196	1.75
9	2	3	100	1	196	1.75
10	2	3	100	1	196	1.75
1	1	2	100	1	196	3.5
2	1	2	100	1	196	3.5
3	1	2	100	1	196	3.5
4	1	2	100	1	196	3.5
5	1	2	100	1	196	3.5
6	1	2	100	1	196	3.5
7	1	2	100	1	196	3.5
8	1	2	100	1	196	3.5
9	1	2	100	1	196	3.5
10	1	2	100	1	196	3.5
1	1	3	100	1	196	3.5
2	1	3	100	1	196	3.5
3	1	3	100	1	196	3.5
4	1	3	100	1	196	3.5
5	1	3	100	1	196	3.5
6	1	3	100	1	196	3.5
7	1	3	100	1	196	3.5
8	1	3	100	1	196	3.5
9	1	3	100	1	196	3.5
10	1	3	100	1	196	3.5
1	2	3	100	1	196	3.5
2	2	3	100	1	196	3.5
3	2	3	100	1	196	3.5
4	2	3	100	1	196	3.5
5	2	3	100	1	196	3.5
6	2	3	100	1	196	3.5
7	2	3	100	1	196	3.5
8	2	3	100	1	196	3.5
9	2	3	100	1	196	3.5
10	2	3	100	1	196	3.5
1	1	2	100	1	196	7
2	1	2	100	1	196	7
3	1	2	100	1	196	7
4	1	2	100	1	196	7
5	1	2	100	1	196	7
6	1	2	100	1	196	7
7	1	2	100	1	196	7
8	1	2	100	1	196	7
9	1	2	100	1	196	7
10	1	2	100	1	196	7
1	1	3	100	1	196	7
2	1	3	100	1	196	7
3	1	3	100	1	196	7
4	1	3	100	1	196	7
5	1	3	100	1	196	7
6	1	3	100	1	196	7
7	1	3	100	1	196	7
8	1	3	100	1	196	7
9	1	3	100	1	196	7
10	1	3	100	1	196	7
1	2	3	100	1	196	7
2	2	3	100	1	196	7
3	2	3	100	1	196	7
4	2	3	100	1	196	7
5	2	3	100	1	196	7
6	2	3	100	1	196	7
7	2	3	100	1	196	7
8	2	3	100	1	196	7
9	2	3	100	1	196	7
10	2	3	100	1	196	7
1	1	2	100	1	420	1.75
2	1	2	100	1	420	1.75
3	1	2	100	1	420	1.75
4	1	2	100	1	420	1.75
5	1	2	100	1	420	1.75
6	1	2	100	1	420	1.75
7	1	2	100	1	420	1.75
8	1	2	100	1	420	1.75
9	1	2	100	1	420	1.75
10	1	2	100	1	420	1.75
1	1	3	100	1	420	1.75
2	1	3	100	1	420	1.75
3	1	3	100	1	420	1.75
4	1	3	100	1	420	1.75
5	1	3	100	1	420	1.75
6	1	3	100	1	420	1.75
7	1	3	100	1	420	1.75
8	1	3	100	1	420	1.75
9	1	3	100	1	420	1.75
10	1	3	100	1	420	1.75
1	2	3	100	1	420	1.75
2	2	3	100	1	420	1.75
3	2	3	100	1	420	1.75
4	2	3	100	1	420	1.75
5	2	3	100	1	420	1.75
6	2	3	100	1	420	1.75
7	2	3	100	1	420	1.75
8	2	3	100	1	420	1.75
9	2	3	100	1	420	1.75
10	2	3	100	1	420	1.75
1	1	2	100	1	420	3.5
2	1	2	100	1	420	3.5
3	1	2	100	1	420	3.5
4	1	2	100	1	420	3.5
5	1	2	100	1	420	3.5
6	1	2	100	1	420	3.5
7	1	2	100	1	420	3.5
8	1	2	100	1	420	3.5
9	1	2	100	1	420	3.5
10	1	2	100	1	420	3.5
1	1	3	100	1	420	3.5
2	1	3	100	1	420	3.5
3	1	3	100	1	420	3.5
4	1	3	100	1	420	3.5
5	1	3	100	1	420	3.5
6	1	3	100	1	420	3.5
7	1	3	100	1	420	3.5
8	1	3	100	1	420	3.5
9	1	3	100	1	420	3.5
10	1	3	100	1	420	3.5
1	2	3	100	1	420	3.5
2	2	3	100	1	420	3.5
3	2	3	100	1	420	3.5
4	2	3	100	1	420	3.5
5	2	3	100	1	420	3.5
6	2	3	100	1	420	3.5
7	2	3	100	1	420	3.5
8	2	3	100	1	420	3.5
9	2	3	100	1	420	3.5
10	2	3	100	1	420	3.5
1	1	2	100	1	420	7
2	1	2	100	1	420	7
3	1	2	100	1	420	7
4	1	2	100	1	420	7
5	1	2	100	1	420	7
6	1	2	100	1	420	7
7	1	2	100	1	420	7
8	1	2	100	1	420	7
9	1	2	100	1	420	7
10	1	2	100	1	420	7
1	1	3	100	1	420	7
2	1	3	100	1	420	7
3	1	3	100	1	420	7
4	1	3	100	1	420	7
5	1	3	100	1	420	7
6	1	3	100	1	420	7
7	1	3	100	1	420	7
8	1	3	100	1	420	7
9	1	3	100	1	420	7
10	1	3	100	1	420	7
1	2	3	100	1	420	7
2	2	3	100	1	420	7
3	2	3	100	1	420	7
4	2	3	100	1	420	7
5	2	3	100	1	420	7
6	2	3	100	1	420	7
7	2	3	100	1	420	7
8	2	3	100	1	420	7
9	2	3	100	1	420	7
10	2	3	100	1	420	7
