#ID	REP	MAP1	MAP2	NE	SIGA	VS	MIG
1	1	88	168	100	1	196	1.75
1	1	2	137	100	1	196	1.75
1	1	58	97	100	1	196	1.75
1	1	75	123	100	1	196	1.75
1	1	35	176	100	1	196	1.75
1	1	51	182	100	1	196	1.75
1	1	148	173	100	1	196	1.75
1	1	94	160	100	1	196	1.75
1	1	29	134	100	1	196	1.75
1	1	76	151	100	1	196	1.75
1	1	22	125	100	1	196	1.75
1	1	93	158	100	1	196	1.75
1	1	49	181	100	1	196	1.75
1	1	146	150	100	1	196	1.75
1	1	32	41	100	1	196	1.75
1	1	140	198	100	1	196	1.75
1	1	34	117	100	1	196	1.75
1	1	71	186	100	1	196	1.75
1	1	16	128	100	1	196	1.75
1	1	129	187	100	1	196	1.75
1	1	87	133	100	1	196	1.75
1	1	162	174	100	1	196	1.75
1	1	118	134	100	1	196	1.75
1	1	30	124	100	1	196	1.75
1	1	27	33	100	1	196	1.75
1	1	38	82	100	1	196	1.75
1	1	14	56	100	1	196	1.75
1	1	35	55	100	1	196	1.75
1	1	68	139	100	1	196	1.75
1	1	63	169	100	1	196	1.75
1	1	4	181	100	1	196	1.75
1	1	101	187	100	1	196	1.75
1	1	68	72	100	1	196	1.75
1	1	5	96	100	1	196	1.75
1	1	120	195	100	1	196	1.75
1	1	88	131	100	1	196	1.75
1	1	1	115	100	1	196	1.75
1	1	2	22	100	1	196	1.75
1	1	30	33	100	1	196	1.75
1	1	158	171	100	1	196	1.75
1	1	32	190	100	1	196	1.75
1	1	55	131	100	1	196	1.75
1	1	18	32	100	1	196	1.75
1	1	88	100	100	1	196	1.75
1	1	19	60	100	1	196	1.75
1	1	156	189	100	1	196	1.75
1	1	33	114	100	1	196	1.75
1	1	77	92	100	1	196	1.75
1	1	43	169	100	1	196	1.75
1	1	126	159	100	1	196	1.75
1	1	173	181	100	1	196	1.75
1	1	65	155	100	1	196	1.75
1	1	7	147	100	1	196	1.75
1	1	43	159	100	1	196	1.75
1	1	21	157	100	1	196	1.75
1	1	116	145	100	1	196	1.75
1	1	40	111	100	1	196	1.75
1	1	142	143	100	1	196	1.75
1	1	34	85	100	1	196	1.75
1	1	49	71	100	1	196	1.75
1	1	165	183	100	1	196	1.75
1	1	93	182	100	1	196	1.75
1	1	124	132	100	1	196	1.75
1	1	23	132	100	1	196	1.75
1	1	7	190	100	1	196	1.75
1	1	30	44	100	1	196	1.75
1	1	58	185	100	1	196	1.75
1	1	2	110	100	1	196	1.75
1	1	27	103	100	1	196	1.75
1	1	43	54	100	1	196	1.75
1	1	70	145	100	1	196	1.75
1	1	133	178	100	1	196	1.75
1	1	68	152	100	1	196	1.75
1	1	28	150	100	1	196	1.75
1	1	80	89	100	1	196	1.75
1	1	64	89	100	1	196	1.75
1	1	3	27	100	1	196	1.75
1	1	9	62	100	1	196	1.75
1	1	11	62	100	1	196	1.75
1	1	97	139	100	1	196	1.75
1	1	14	80	100	1	196	1.75
1	1	80	158	100	1	196	1.75
1	1	33	43	100	1	196	1.75
1	1	2	187	100	1	196	1.75
1	1	75	101	100	1	196	1.75
1	1	40	77	100	1	196	1.75
